city,x,y,name,population,timezone,state,state_abbreviation,elevation,latitude,longitude,elevation_m,country_code
"Los Angeles, CA",4.930809643,-0.936238962,"Los Angeles, CA",3971883,America/Los_Angeles,California,CA,89,34.05223,-118.24368,96,US
"Chicago, IL",-2.021456444,-2.615555542,"Chicago, IL",2720546,America/Chicago,Illinois,IL,179,41.85003,-87.65005,180,US
"Houston, TX",1.339571605,2.576389953,"Houston, TX",2296224,America/Chicago,Texas,TX,12,29.76328,-95.36327,30,US
"Philadelphia, PA",-1.217257771,-1.380793375,"Philadelphia, PA",1567442,America/New_York,Pennsylvania,PA,12,39.95233,-75.16379,40,US
"Phoenix, AZ",2.046930145,-0.480844902,"Phoenix, AZ",1563025,America/Phoenix,Arizona,AZ,331,33.44838,-112.07404,366,US
"San Diego, CA",4.811427763,-1.107438436,"San Diego, CA",1394928,America/Los_Angeles,California,CA,20,32.71533,-117.15726,31,US
"Dallas, TX",1.344747781,2.507306454,"Dallas, TX",1300092,America/Chicago,Texas,TX,128,32.78306,-96.80667,139,US
"San Jose, CA",5.0963586,-1.087475931,"San Jose, CA",1026908,America/Los_Angeles,California,CA,26,37.33939,-121.89496,23,US
"Austin, TX",1.293770245,2.309859111,"Austin, TX",931830,America/Chicago,Texas,TX,149,30.26715,-97.74306,165,US
"Jacksonville, FL",0.391322607,2.360873346,"Jacksonville, FL",868031,America/New_York,Florida,FL,5,30.33218,-81.65565,12,US
"San Francisco, CA",4.895681252,-1.177966867,"San Francisco, CA",864816,America/Los_Angeles,California,CA,16,37.77493,-122.41942,28,US
"Columbus, OH",-1.503355126,-0.702039889,"Columbus, OH",850106,America/New_York,Ohio,OH,235,39.96118,-82.99879,242,US
"Fort Worth, TX",1.484297411,2.824016742,"Fort Worth, TX",833319,America/Chicago,Texas,TX,199,32.72541,-97.32085,203,US
"Indianapolis, IN",-1.889130926,-1.456057175,"Indianapolis, IN",829718,America/Indiana/Indianapolis,Indiana,IN,218,39.76838,-86.15804,248,US
"Charlotte, NC",-1.179230108,2.489070662,"Charlotte, NC",827097,America/New_York,North Carolina,NC,229,35.22709,-80.84313,272,US
"Seattle, WA",1.192271536,-0.487212142,"Seattle, WA",684451,America/Los_Angeles,Washington,WA,56,47.60621,-122.33207,56,US
"Denver, CO",1.304152945,-1.098888217,"Denver, CO",682545,America/Denver,Colorado,CO,1609,39.73915,-104.9847,1636,US
"El Paso, TX",1.720663427,2.370256724,"El Paso, TX",681124,America/Denver,Texas,TX,1133,31.75872,-106.48693,1137,US
